Batting_team,Run,Over,Wickets
Newzeland,6,1.0,0
Newzeland,10,2.0,0
Newzeland,21,3.0,0
Newzeland,21,4.0,1
Newzeland,29,5.0,2
Newzeland,33,6.0,2
Newzeland,35,7.0,3
Newzeland,40,8.0,3
Newzeland,45,9.0,3
Newzeland,48,10.0,4
Newzeland,54,11.0,4
Newzeland,58,12.0,4
Newzeland,62,13.0,5
Newzeland,67,14.0,5
Newzeland,71,15.0,5
Newzeland,76,16.0,5
Newzeland,80,17.0,6
Newzeland,83,18.0,8
Newzeland,94,19.0,8
Newzeland,99,20.0,8
India,8,1.0,0
India,9,2.0,0
India,16,3.0,0
India,17,4.0,1
India,22,5.0,1
India,29,6.0,1
India,34,7.0,1
India,43,8.0,1
India,46,9.0,2
India,49,10.0,2
India,51,11.0,3
India,57,12.0,3
India,66,13.0,3
India,70,14.0,3
India,73,15.0,4
India,77,16.0,4
India,82,17.0,4
India,87,18.0,4
India,94,19.0,4
India,101,19.5,4
